Id,SalePrice
1461,124868.914
1462,176853.67
1463,172893.62
1464,201292.9
1465,196381.12
1466,183969.56
1467,147284.66
1468,166893.84
1469,172698.94
1470,120571.6
1471,180899.33
1472,104822.734
1473,95038.26
1474,146594.06
1475,133288.97
1476,420603.62
1477,249974.06
1478,306287.44
1479,316062.06
1480,550013.06
1481,382550.88
1482,198112.9
1483,185848.88
1484,157635.84
1485,165630.69
1486,202662.44
1487,432577.0
1488,270340.44
1489,202282.94
1490,213109.56
1491,186247.23
1492,102426.016
1493,176217.39
1494,310788.56
1495,298774.56
1496,216537.36
1497,171384.55
1498,153020.19
1499,151640.5
1500,151351.12
1501,168707.11
1502,130456.52
1503,272196.12
1504,244825.22
1505,227063.19
1506,182094.05
1507,272273.88
1508,203043.83
1509,168523.5
1510,130350.32
1511,143096.38
1512,177244.94
1513,163183.03
1514,126640.22
1515,244697.34
1516,154342.75
1517,174401.69
1518,136809.72
1519,181008.69
1520,127153.96
1521,129412.48
1522,182195.4
1523,119789.305
1524,127567.56
1525,121911.73
1526,123353.3
1527,112524.37
1528,131163.19
1529,140568.88
1530,167659.89
1531,100628.79
1532,99010.96
1533,126527.11
1534,123884.984
1535,147284.31
1536,111056.805
1537,53348.04
1538,140006.31
1539,199901.33
1540,85305.82
1541,142251.97
1542,146319.38
1543,156424.16
1544,81036.516
1545,108675.52
1546,136715.48
1547,134447.6
1548,128646.05
1549,127468.01
1550,137197.78
1551,106388.26
1552,196113.55
1553,160658.38
1554,116697.99
1555,183278.25
1556,118045.05
1557,108139.55
1558,97649.71
1559,118115.0
1560,127500.21
1561,115075.23
1562,125249.52
1563,127233.74
1564,160367.64
1565,153626.62
1566,217468.38
1567,78621.01
1568,220427.48
1569,122514.21
1570,139650.47
1571,105886.07
1572,131151.94
1573,218188.31
1574,119412.89
1575,203565.56
1576,243105.97
1577,172779.38
1578,146212.95
1579,144517.72
1580,199505.7
1581,171944.95
1582,118439.0
1583,318492.12
1584,251411.53
1585,139560.81
1586,75143.555
1587,112999.79
1588,138855.88
1589,107533.19
1590,127040.91
1591,108450.414
1592,93305.45
1593,127726.11
1594,126623.125
1595,155921.44
1596,226113.0
1597,207379.73
1598,192725.22
1599,162436.94
1600,171404.44
1601,66824.695
1602,124715.86
1603,86352.46
1604,214511.31
1605,239625.28
1606,157122.56
1607,175205.12
1608,196055.84
1609,183113.62
1610,157411.84
1611,137303.4
1612,175864.31
1613,174669.4
1614,123713.37
1615,98182.1
1616,80031.16
1617,76189.414
1618,124950.76
1619,131691.9
1620,140509.34
1621,137854.98
1622,146025.6
1623,276424.56
1624,228540.12
1625,122980.4
1626,155835.36
1627,182194.95
1628,260649.34
1629,174969.98
1630,361731.75
1631,199318.62
1632,259704.83
1633,170683.34
1634,184063.03
1635,171524.98
1636,152172.12
1637,199951.1
1638,200892.19
1639,198114.23
1640,274349.62
1641,194809.31
1642,221843.83
1643,232351.16
1644,247603.47
1645,233077.8
1646,149437.81
1647,149292.12
1648,133240.16
1649,134057.47
1650,108687.266
1651,121621.6
1652,98344.83
1653,99902.18
1654,146595.81
1655,146008.14
1656,146958.9
1657,150938.55
1658,149933.62
1659,121875.74
1660,161670.94
1661,471955.6
1662,406734.8
1663,372017.44
1664,468476.12
1665,336545.44
1666,304285.2
1667,313625.78
1668,336667.6
1669,264784.88
1670,384512.03
1671,289366.62
1672,495380.3
1673,313055.75
1674,256921.72
1675,190297.1
1676,194314.81
1677,211203.16
1678,486780.25
1679,399680.94
1680,317627.53
1681,242546.44
1682,291595.56
1683,194464.98
1684,164153.75
1685,175131.62
1686,164990.1
1687,164823.53
1688,193360.61
1689,201764.53
1690,181016.1
1691,171709.14
1692,238925.44
1693,157212.56
1694,172598.31
1695,162169.56
1696,265034.94
1697,163880.81
1698,356437.8
1699,346717.47
1700,272037.22
1701,297423.2
1702,260529.36
1703,274501.06
1704,270007.94
1705,235912.44
1706,432169.38
1707,214951.16
1708,211804.39
1709,268711.56
1710,215206.62
1711,245167.72
1712,295275.4
1713,262328.56
1714,222220.1
1715,208090.66
1716,176386.72
1717,165838.25
1718,150660.9
1719,209016.81
1720,193822.14
1721,170699.84
1722,146923.69
1723,144001.45
1724,191220.39
1725,251411.44
1726,191770.78
1727,163100.47
1728,174300.0
1729,151711.27
1730,160588.6
1731,124829.555
1732,118671.15
1733,119161.49
1734,125162.695
1735,128276.62
1736,116864.74
1737,366650.94
1738,268525.44
1739,240722.11
1740,243497.92
1741,183884.88
1742,169559.25
1743,166168.31
1744,360964.62
